calendar.date,census,replicate,microsite,sampling.method,pan.colour,order,family,total.abundance
24/04/2013,1,7,Shrub,Pan,Blue,Hemiptera,Rhopalidae,1
24/04/2013,1,7,Shrub,Pan,Blue,Hymenoptera,Apidae,1
24/04/2013,1,7,Shrub,Pan,Blue,Hymenoptera,Crabronidae,1
24/04/2013,1,7,Shrub,Pan,Blue,Hymenoptera,Formicidae,8
24/04/2013,1,7,Shrub,Pan,Blue,Hymenoptera,Halictidae,1
24/04/2013,1,8,Open,Pan,Yellow,Coleoptera,melyridae,1
24/04/2013,1,8,Open,Pan,Yellow,Hymenoptera,Crabronidae,3
24/04/2013,1,8,Open,Pan,Yellow,Hymenoptera,Formicidae,1
24/04/2013,1,8,Shrub,Pan,Yellow,Diptera,Tachinidae,1
24/04/2013,1,8,Shrub,Pan,Yellow,Hymenoptera,Bethylidae,2
24/04/2013,1,8,Shrub,Pan,Yellow,Hymenoptera,Chalcididae,1
24/04/2013,1,8,Shrub,Pan,Yellow,Hymenoptera,Chrysididae,1
24/04/2013,1,8,Shrub,Pan,Yellow,Hymenoptera,Crabronidae,2
24/04/2013,1,8,Shrub,Pan,Yellow,Hymenoptera,Formicidae,150
24/04/2013,1,9,Open,Pan,White,Coleoptera,Mordellidae,1
24/04/2013,1,9,Open,Pan,White,Hemiptera,Rhopalidae,1
24/04/2013,1,9,Open,Pan,White,Hymenoptera,Crabronidae,1
24/04/2013,1,9,Open,Pan,White,Hymenoptera,Formicidae,2
24/04/2013,1,9,Shrub,Pan,White,Diptera,Sarcophagidae,1
24/04/2013,1,9,Shrub,Pan,White,Diptera,Tachinidae,1
24/04/2013,1,9,Shrub,Pan,White,Hemiptera,Rhopalidae,1
24/04/2013,1,9,Shrub,Pan,White,Hymenoptera,Chrysididae,2
24/04/2013,1,9,Shrub,Pan,White,Hymenoptera,Crabronidae,2
24/04/2013,1,9,Shrub,Pan,White,Hymenoptera,Formicidae,5
24/04/2013,1,10,Open,Pan,Blue,Coleoptera,Mordellidae,1
24/04/2013,1,10,Open,Pan,Blue,Diptera,Muscidae,1
24/04/2013,1,10,Open,Pan,Blue,Hymenoptera,Megachilidae,2
24/04/2013,1,10,Shrub,Pan,Blue,Coleoptera,Meloidae,1
24/04/2013,1,10,Shrub,Pan,Blue,Hymenoptera,Crabronidae,1
24/04/2013,1,10,Shrub,Pan,Blue,Hymenoptera,Halictidae,2
24/04/2013,1,10,Shrub,Pan,Blue,Hymenoptera,Megachilidae,1
24/04/2013,1,10,Shrub,Pan,Blue,Hymenoptera,Pompilidae,2
24/04/2013,1,11,Open,Pan,Yellow,Hemiptera,Rhopalidae,1
24/04/2013,1,11,Open,Pan,Yellow,Hymenoptera,Crabronidae,2
24/04/2013,1,11,Open,Pan,Yellow,Hymenoptera,Formicidae,2
24/04/2013,1,11,Shrub,Pan,Yellow,Hemiptera,Rhopalidae,1
24/04/2013,1,11,Shrub,Pan,Yellow,Hymenoptera,Crabronidae,1
24/04/2013,1,11,Shrub,Pan,Yellow,Hymenoptera,Formicidae,4
24/04/2013,1,11,Shrub,Pan,Yellow,Hymenoptera,Sphecidae,1
24/04/2013,1,12,Open,Pan,White,Coleoptera,Meloidae,1
24/04/2013,1,12,Open,Pan,White,Diptera,Tachinidae,2
24/04/2013,1,12,Open,Pan,White,Hemiptera,Rhopalidae,1
24/04/2013,1,12,Open,Pan,White,Hymenoptera,Formicidae,1
24/04/2013,1,12,Open,Pan,White,Hymenoptera,Megachilidae,1
24/04/2013,1,12,Open,Pan,White,Hymenoptera,Sphecidae,1
24/04/2013,1,12,Shrub,Pan,White,Diptera,Milichiidae,1
24/04/2013,1,12,Shrub,Pan,White,Diptera,Sarcophagidae,1
24/04/2013,1,12,Shrub,Pan,White,Diptera,Tachinidae,3
24/04/2013,1,12,Shrub,Pan,White,Hymenoptera,Crabronidae,4
24/04/2013,1,12,Shrub,Pan,White,Hymenoptera,Formicidae,4
24/04/2013,1,13,Open,Pan,Blue,Hymenoptera,Apidae,1
24/04/2013,1,13,Open,Pan,Blue,Hymenoptera,Crabronidae,1
24/04/2013,1,13,Open,Pan,Blue,Hymenoptera,Formicidae,4
24/04/2013,1,13,Open,Pan,Blue,Hymenoptera,Halictidae,1
24/04/2013,1,13,Shrub,Pan,Blue,Diptera,Pipunculidae,1
24/04/2013,1,13,Shrub,Pan,Blue,Diptera,Tachinidae,3
24/04/2013,1,13,Shrub,Pan,Blue,Hemiptera,Rhopalidae,2
24/04/2013,1,13,Shrub,Pan,Blue,Hymenoptera,Crabronidae,1
24/04/2013,1,13,Shrub,Pan,Blue,Hymenoptera,Halictidae,2
24/04/2013,1,13,Shrub,Pan,Blue,Hymenoptera,Megachilidae,2
24/04/2013,1,13,Shrub,Pan,Blue,Hymenoptera,Pompilidae,1
24/04/2013,1,14,Open,Pan,Yellow,Diptera,Apioceridae,1
24/04/2013,1,14,Open,Pan,Yellow,Hemiptera,Rhopalidae,1
24/04/2013,1,14,Open,Pan,Yellow,Hymenoptera,Crabronidae,3
24/04/2013,1,14,Open,Pan,Yellow,Hymenoptera,Formicidae,4
24/04/2013,1,14,Open,Pan,Yellow,Hymenoptera,Halictidae,1
24/04/2013,1,14,Shrub,Pan,Yellow,Coleoptera,melyridae,1
24/04/2013,1,14,Shrub,Pan,Yellow,Hymenoptera,Chalcididae,2
24/04/2013,1,14,Shrub,Pan,Yellow,Hymenoptera,Chrysididae,1
24/04/2013,1,14,Shrub,Pan,Yellow,Hymenoptera,Crabronidae,2
24/04/2013,1,14,Shrub,Pan,Yellow,Hymenoptera,Formicidae,2
24/04/2013,1,15,Open,Pan,White,Coleoptera,Meloidae,6
24/04/2013,1,15,Open,Pan,White,Coleoptera,melyridae,1
24/04/2013,1,15,Open,Pan,White,Diptera,Tachinidae,2
24/04/2013,1,15,Open,Pan,White,Hemiptera,Rhopalidae,1
24/04/2013,1,15,Open,Pan,White,Hymenoptera,Chrysididae,1
24/04/2013,1,15,Open,Pan,White,Hymenoptera,Crabronidae,1
24/04/2013,1,15,Shrub,Pan,White,Coleoptera,Meloidae,2
24/04/2013,1,15,Shrub,Pan,White,Diptera,Tachinidae,2
24/04/2013,1,15,Shrub,Pan,White,Hemiptera,Cicadellidae,1
24/04/2013,1,15,Shrub,Pan,White,Hymenoptera,Andrenidae,2
24/04/2013,1,15,Shrub,Pan,White,Hymenoptera,Chrysididae,1
24/04/2013,1,15,Shrub,Pan,White,Hymenoptera,Crabronidae,6
24/04/2013,1,15,Shrub,Pan,White,Hymenoptera,Formicidae,7
24/04/2013,1,15,Shrub,Pan,White,Hymenoptera,Pompilidae,2
24/04/2013,1,15,Shrub,Pan,White,Hymenoptera,Sphecidae,1
24/04/2013,1,16,Open,Pan,Blue,Coleoptera,Meloidae,2
24/04/2013,1,16,Open,Pan,Blue,Diptera,Chloropidae,1
24/04/2013,1,16,Open,Pan,Blue,Diptera,Sarcophagidae,1
24/04/2013,1,16,Open,Pan,Blue,Diptera,Tachinidae,3
24/04/2013,1,16,Open,Pan,Blue,Hymenoptera,Crabronidae,1
24/04/2013,1,16,Open,Pan,Blue,Hymenoptera,Formicidae,2
24/04/2013,1,16,Open,Pan,Blue,Hymenoptera,Megachilidae,1
24/04/2013,1,16,Shrub,Pan,Blue,Hymenoptera,Formicidae,2
24/04/2013,1,16,Shrub,Pan,Blue,Hymenoptera,Halictidae,2
24/04/2013,1,17,Open,Pan,Yellow,Coleoptera,melyridae,1
24/04/2013,1,17,Open,Pan,Yellow,Diptera,Tachinidae,1
24/04/2013,1,17,Open,Pan,Yellow,Hymenoptera,Formicidae,9
24/04/2013,1,17,Open,Pan,Yellow,Hymenoptera,Halictidae,1
24/04/2013,1,17,Shrub,Pan,Yellow,Coleoptera,Meloidae,1
24/04/2013,1,17,Shrub,Pan,Yellow,Coleoptera,melyridae,1
24/04/2013,1,17,Shrub,Pan,Yellow,Diptera,Sarcophagidae,1
24/04/2013,1,17,Shrub,Pan,Yellow,Diptera,Tachinidae,1
24/04/2013,1,17,Shrub,Pan,Yellow,Hemiptera,Rhopalidae,1
24/04/2013,1,17,Shrub,Pan,Yellow,Hymenoptera,Chrysididae,1
24/04/2013,1,17,Shrub,Pan,Yellow,Hymenoptera,Halictidae,1
24/04/2013,1,17,Shrub,Pan,Yellow,Hymenoptera,Pompilidae,1
24/04/2013,1,18,Open,Pan,White,Coleoptera,melyridae,2
24/04/2013,1,18,Open,Pan,White,Diptera,Pipunculidae,1
24/04/2013,1,18,Open,Pan,White,Hemiptera,Rhopalidae,1
24/04/2013,1,18,Open,Pan,White,Hymenoptera,Chrysididae,1
24/04/2013,1,18,Open,Pan,White,Hymenoptera,Crabronidae,2
24/04/2013,1,18,Open,Pan,White,Hymenoptera,Formicidae,5
24/04/2013,1,18,Shrub,Pan,White,Coleoptera,Meloidae,7
24/04/2013,1,18,Shrub,Pan,White,Diptera,Muscidae,1
24/04/2013,1,18,Shrub,Pan,White,Diptera,Sarcophagidae,1
24/04/2013,1,18,Shrub,Pan,White,Diptera,Tachinidae,2
24/04/2013,1,18,Shrub,Pan,White,Hymenoptera,Chrysididae,2
24/04/2013,1,18,Shrub,Pan,White,Hymenoptera,Formicidae,2
24/04/2013,1,18,Shrub,Pan,White,Hymenoptera,Pompilidae,2
24/04/2013,1,18,Shrub,Pan,White,Hymenoptera,Pompilidae,1
24/04/2013,1,19,Open,Pan,Blue,Coleoptera,Meloidae,1
24/04/2013,1,19,Open,Pan,Blue,Coleoptera,melyridae,4
24/04/2013,1,19,Open,Pan,Blue,Hemiptera,Rhopalidae,1
24/04/2013,1,19,Open,Pan,Blue,Hymenoptera,Crabronidae,3
24/04/2013,1,19,Open,Pan,Blue,Hymenoptera,Halictidae,2
24/04/2013,1,19,Open,Pan,Blue,Hymenoptera,Megachilidae,1
24/04/2013,1,19,Open,Pan,Blue,Lepidoptera,Papilionidae,1
24/04/2013,1,19,Shrub,Pan,Blue,Coleoptera,Meloidae,2
24/04/2013,1,19,Shrub,Pan,Blue,Diptera,Tachinidae,1
24/04/2013,1,19,Shrub,Pan,Blue,Hemiptera,Rhopalidae,1
24/04/2013,1,19,Shrub,Pan,Blue,Hymenoptera,Crabronidae,1
24/04/2013,1,19,Shrub,Pan,Blue,Hymenoptera,Formicidae,2
24/04/2013,1,20,Open,Pan,Yellow,Coleoptera,Meloidae,1
24/04/2013,1,20,Open,Pan,Yellow,Diptera,Tachinidae,1
24/04/2013,1,20,Open,Pan,Yellow,Hemiptera,Cicadellidae,2
24/04/2013,1,20,Open,Pan,Yellow,Hymenoptera,Crabronidae,1
24/04/2013,1,20,Open,Pan,Yellow,Hymenoptera,Formicidae,2
24/04/2013,1,20,Open,Pan,Yellow,Hymenoptera,Pompilidae,1
24/04/2013,1,20,Shrub,Pan,Yellow,Diptera,Bombyliidae,1
24/04/2013,1,20,Shrub,Pan,Yellow,Hemiptera,Cicadellidae,1
24/04/2013,1,20,Shrub,Pan,Yellow,Hemiptera,Rhopalidae,4
24/04/2013,1,20,Shrub,Pan,Yellow,Hymenoptera,Crabronidae,1
24/04/2013,1,20,Shrub,Pan,Yellow,Hymenoptera,Formicidae,1
24/04/2013,1,20,Shrub,Pan,Yellow,Hymenoptera,Pompilidae,1
24/04/2013,1,21,Open,Pan,White,Coleoptera,Meloidae,3
24/04/2013,1,21,Open,Pan,White,Coleoptera,melyridae,3
24/04/2013,1,21,Open,Pan,White,Hemiptera,Geocoridae,1
24/04/2013,1,21,Open,Pan,White,Hemiptera,Rhopalidae,2
24/04/2013,1,21,Open,Pan,White,Hymenoptera,Andrenidae,1
24/04/2013,1,21,Open,Pan,White,Hymenoptera,Apidae,1
24/04/2013,1,21,Open,Pan,White,Hymenoptera,Crabronidae,2
24/04/2013,1,21,Shrub,Pan,White,Hymenoptera,Andrenidae,1
24/04/2013,1,21,Shrub,Pan,White,Coleoptera,Glaphyridae,5
24/04/2013,1,21,Shrub,Pan,White,Diptera,Sarcophagidae,1
24/04/2013,1,21,Shrub,Pan,White,Hymenoptera,Crabronidae,5
24/04/2013,1,22,Open,Pan,Blue,Coleoptera,Meloidae,5
24/04/2013,1,22,Open,Pan,Blue,Coleoptera,melyridae,3
24/04/2013,1,22,Open,Pan,Blue,Hemiptera,Rhopalidae,1
24/04/2013,1,22,Open,Pan,Blue,Hymenoptera,Apidae,1
24/04/2013,1,22,Open,Pan,Blue,Hymenoptera,Crabronidae,1
24/04/2013,1,22,Open,Pan,Blue,Hymenoptera,Melittidae,1
24/04/2013,1,22,Shrub,Pan,Blue,Coleoptera,melyridae,1
24/04/2013,1,22,Shrub,Pan,Blue,Diptera,Tachinidae,1
24/04/2013,1,22,Shrub,Pan,Blue,Hymenoptera,Crabronidae,3
24/04/2013,1,22,Shrub,Pan,Blue,Hymenoptera,Formicidae,3
24/04/2013,1,22,Shrub,Pan,Blue,Hymenoptera,Halictidae,2
24/04/2013,1,23,Open,Pan,Yellow,Coleoptera,Meloidae,1
24/04/2013,1,23,Open,Pan,Yellow,Diptera,Pipunculidae,1
24/04/2013,1,23,Open,Pan,Yellow,Diptera,Tachinidae,2
24/04/2013,1,23,Open,Pan,Yellow,Hemiptera,Cicadellidae,1
24/04/2013,1,23,Open,Pan,Yellow,Hemiptera,Rhopalidae,2
24/04/2013,1,23,Open,Pan,Yellow,Hymenoptera,Chrysididae,2
24/04/2013,1,23,Open,Pan,Yellow,Hymenoptera,Megachilidae,1
24/04/2013,1,23,Open,Pan,Yellow,Hymenoptera,mutillidae,1
24/04/2013,1,23,Open,Pan,Yellow,Hymenoptera,Pompilidae,1
24/04/2013,1,23,Shrub,Pan,Yellow,,,0
24/04/2013,1,24,Open,Pan,White,Coleoptera,Meloidae,1
24/04/2013,1,24,Open,Pan,White,Coleoptera,melyridae,1
24/04/2013,1,24,Open,Pan,White,Diptera,Bombyliidae,1
24/04/2013,1,24,Open,Pan,White,Diptera,Muscidae,1
24/04/2013,1,24,Open,Pan,White,Diptera,Pipunculidae,1
24/04/2013,1,24,Open,Pan,White,Hemiptera,Rhopalidae,1
24/04/2013,1,24,Open,Pan,White,Hymenoptera,Apidae,1
24/04/2013,1,24,Shrub,Pan,White,Coleoptera,melyridae,1
24/04/2013,1,24,Shrub,Pan,White,Diptera,Bombyliidae,1
24/04/2013,1,24,Shrub,Pan,White,Hymenoptera,Andrenidae,2
24/04/2013,1,24,Shrub,Pan,White,Hymenoptera,Bradynobaenidae,2
24/04/2013,1,24,Shrub,Pan,White,Hymenoptera,Crabronidae,3
24/04/2013,1,24,Shrub,Pan,White,Mantodea,Mantidae,1
24/04/2013,1,25,Open,Pan,Blue,Coleoptera,melyridae,4
24/04/2013,1,25,Open,Pan,Blue,Diptera,Sarcophagidae,1
24/04/2013,1,25,Open,Pan,Blue,Diptera,Tachinidae,1
24/04/2013,1,25,Open,Pan,Blue,Hemiptera,Geocoridae,1
24/04/2013,1,25,Open,Pan,Blue,Hymenoptera,Apidae,1
24/04/2013,1,25,Open,Pan,Blue,Hymenoptera,Formicidae,2
24/04/2013,1,25,Open,Pan,Blue,Hymenoptera,Megachilidae,1
24/04/2013,1,25,Open,Pan,Blue,Hymenoptera,Pompilidae,1
24/04/2013,1,25,Shrub,Pan,Blue,Coleoptera,Meloidae,1
24/04/2013,1,25,Shrub,Pan,Blue,Diptera,Bombyliidae,1
24/04/2013,1,25,Shrub,Pan,Blue,Diptera,Tachinidae,1
24/04/2013,1,25,Shrub,Pan,Blue,Hymenoptera,Crabronidae,1
24/04/2013,1,25,Shrub,Pan,Blue,Hymenoptera,Formicidae,2
24/04/2013,1,25,Shrub,Pan,Blue,Hymenoptera,Halictidae,1
24/04/2013,1,26,Shrub,Pan,Yellow,Diptera,Tachinidae,1
24/04/2013,1,26,Shrub,Pan,Yellow,Hemiptera,Cicadellidae,1
24/04/2013,1,26,Shrub,Pan,Yellow,Hymenoptera,Crabronidae,1
24/04/2013,1,26,Open,Pan,Yellow,,,0
24/04/2013,1,27,Open,Pan,White,Coleoptera,melyridae,3
24/04/2013,1,27,Open,Pan,White,Diptera,Tachinidae,1
24/04/2013,1,27,Open,Pan,White,Hymenoptera,Chrysididae,1
24/04/2013,1,27,Open,Pan,White,Hymenoptera,Crabronidae,1
24/04/2013,1,27,Open,Pan,White,Hymenoptera,Formicidae,1
24/04/2013,1,27,Open,Pan,White,Hymenoptera,Sphecidae,1
24/04/2013,1,27,Shrub,Pan,White,Diptera,Lauxaniidae,2
24/04/2013,1,27,Shrub,Pan,White,Diptera,Sarcophagidae,1
24/04/2013,1,27,Shrub,Pan,White,Hymenoptera,Crabronidae,3
24/04/2013,1,28,Open,Pan,Blue,Coleoptera,melyridae,1
24/04/2013,1,28,Open,Pan,Blue,Hemiptera,Rhopalidae,1
24/04/2013,1,28,Open,Pan,Blue,Hymenoptera,Chrysididae,1
24/04/2013,1,28,Open,Pan,Blue,Hymenoptera,Crabronidae,2
24/04/2013,1,28,Open,Pan,Blue,Hymenoptera,Formicidae,1
24/04/2013,1,28,Shrub,Pan,Blue,Diptera,Tachinidae,1
24/04/2013,1,28,Shrub,Pan,Blue,Hymenoptera,Chrysididae,1
24/04/2013,1,28,Shrub,Pan,Blue,Hymenoptera,Crabronidae,1
24/04/2013,1,28,Shrub,Pan,Blue,Hymenoptera,Formicidae,4
24/04/2013,1,28,Shrub,Pan,Blue,Hymenoptera,Halictidae,1
24/04/2013,1,28,Shrub,Pan,Blue,Hymenoptera,Pompilidae,1
24/04/2013,1,29,Open,Pan,Blue,Diptera,Sarcophagidae,2
24/04/2013,1,29,Open,Pan,Blue,Hymenoptera,Formicidae,1
24/04/2013,1,29,Open,Pan,Blue,Hymenoptera,Halictidae,1
24/04/2013,1,29,Open,Pan,Blue,Hymenoptera,Megachilidae,2
24/04/2013,1,29,Shrub,Pan,Blue,Coleoptera,melyridae,3
24/04/2013,1,29,Shrub,Pan,Blue,Hemiptera,Rhopalidae,1
24/04/2013,1,29,Shrub,Pan,Blue,Hymenoptera,Megachilidae,1
24/04/2013,1,30,Open,Pan,White,Coleoptera,melyridae,1
24/04/2013,1,30,Open,Pan,White,Diptera,Bombyliidae,1
24/04/2013,1,30,Open,Pan,White,Diptera,Tachinidae,3
24/04/2013,1,30,Open,Pan,White,Hymenoptera,Crabronidae,1
24/04/2013,1,30,Open,Pan,White,Hymenoptera,Halictidae,1
24/04/2013,1,30,Open,Pan,White,Hymenoptera,Megachilidae,1
24/04/2013,1,30,Shrub,Pan,White,Diptera,Tachinidae,5
24/04/2013,1,30,Shrub,Pan,White,Hymenoptera,Crabronidae,2
24/04/2013,1,30,Shrub,Pan,White,Hymenoptera,Halictidae,1
24/04/2013,1,30,Shrub,Pan,White,Hymenoptera,Pompilidae,1
24/04/2013,1,30,Shrub,Pan,White,Lepidoptera,Pieridae,1
25/04/2013,2,1,Open,Pan,White,Coleoptera,Meloidae,3
25/04/2013,2,1,Open,Pan,White,Diptera,Bombyliidae,1
25/04/2013,2,1,Open,Pan,White,Diptera,Sarcophagidae,3
25/04/2013,2,1,Open,Pan,White,Diptera,Tachinidae,9
25/04/2013,2,1,Open,Pan,White,Hymenoptera,Halictidae,1
25/04/2013,2,1,Shrub,Pan,White,Coleoptera,Meloidae,4
25/04/2013,2,1,Shrub,Pan,White,Diptera,Anthomyiidae,4
25/04/2013,2,1,Shrub,Pan,White,Diptera,Sarcophagidae,3
25/04/2013,2,1,Shrub,Pan,White,Diptera,Tachinidae,12
25/04/2013,2,1,Shrub,Pan,White,Hemiptera,Geocoridae,1
25/04/2013,2,1,Shrub,Pan,White,Hemiptera,Rhopalidae,1
25/04/2013,2,1,Shrub,Pan,White,Hymenoptera,Andrenidae,1
25/04/2013,2,1,Shrub,Pan,White,Hymenoptera,Halictidae,1
25/04/2013,2,1,Shrub,Pan,White,Hymenoptera,Pompilidae,1
25/04/2013,2,2,Open,Pan,Yellow,Diptera,Tachinidae,5
25/04/2013,2,2,Shrub,Pan,Yellow,Coleoptera,melyridae,1
25/04/2013,2,2,Shrub,Pan,Yellow,Diptera,Muscidae,2
25/04/2013,2,2,Shrub,Pan,Yellow,Diptera,Tachinidae,1
25/04/2013,2,2,Shrub,Pan,Yellow,Hymenoptera,Crabronidae,2
25/04/2013,2,2,Shrub,Pan,Yellow,Hymenoptera,Formicidae,3
25/04/2013,2,3,Open,Pan,Blue,Coleoptera,melyridae,1
25/04/2013,2,3,Open,Pan,Blue,Diptera,Asilidae,1
25/04/2013,2,3,Open,Pan,Blue,Diptera,Sarcophagidae,2
25/04/2013,2,3,Open,Pan,Blue,Diptera,Tachinidae,2
25/04/2013,2,3,Open,Pan,Blue,Hymenoptera,Halictidae,1
25/04/2013,2,3,Open,Pan,Blue,Hymenoptera,Megachilidae,2
25/04/2013,2,3,Shrub,Pan,Blue,Coleoptera,Meloidae,8
25/04/2013,2,3,Shrub,Pan,Blue,Diptera,Sarcophagidae,1
25/04/2013,2,3,Shrub,Pan,Blue,Diptera,Tachinidae,3
25/04/2013,2,3,Shrub,Pan,Blue,Hymenoptera,Crabronidae,2
25/04/2013,2,3,Shrub,Pan,Blue,Hymenoptera,Megachilidae,2
25/04/2013,2,3,Shrub,Pan,Blue,Hymenoptera,Sphecidae,1
25/04/2013,2,4,Open,Pan,White,Diptera,Sarcophagidae,1
25/04/2013,2,4,Open,Pan,White,Diptera,Tachinidae,1
25/04/2013,2,4,Shrub,Pan,White,Coleoptera,Meloidae,1
25/04/2013,2,4,Shrub,Pan,White,Diptera,Mydidae,1
25/04/2013,2,4,Shrub,Pan,White,Diptera,Sarcophagidae,1
25/04/2013,2,4,Shrub,Pan,White,Diptera,Tachinidae,4
25/04/2013,2,4,Shrub,Pan,White,Hymenoptera,Andrenidae,1
25/04/2013,2,4,Shrub,Pan,White,Hymenoptera,Chalcididae,1
25/04/2013,2,4,Shrub,Pan,White,Hymenoptera,Formicidae,2
25/04/2013,2,4,Shrub,Pan,White,Hymenoptera,Megachilidae,1
25/04/2013,2,5,Open,Pan,Yellow,Diptera,Tachinidae,2
25/04/2013,2,5,Open,Pan,Yellow,Hymenoptera,Crabronidae,1
25/04/2013,2,5,Open,Pan,Yellow,Hymenoptera,Formicidae,1
25/04/2013,2,5,Shrub,Pan,Yellow,Diptera,Sarcophagidae,1
25/04/2013,2,5,Shrub,Pan,Yellow,Diptera,Tachinidae,2
25/04/2013,2,5,Shrub,Pan,Yellow,Hymenoptera,Crabronidae,1
25/04/2013,2,6,Open,Pan,Blue,Diptera,Anthomyiidae,1
25/04/2013,2,6,Open,Pan,Blue,Diptera,Sarcophagidae,3
25/04/2013,2,6,Open,Pan,Blue,Diptera,Tachinidae,12
25/04/2013,2,6,Open,Pan,Blue,Hymenoptera,Crabronidae,1
